T00	T01	T02	T03	T10	T11	T12	T13	T20	T21	T22	T23	T30	T31	T32	T33
0.999003	0.0441935	-0.00632643	0.00147642	-0.0441038	0.998933	0.0136787	-0.0186223	0.00692419	-0.013386	0.999886	-0.015396	0	0	0	1
0.999003	0.0441975	-0.00628082	0.00138534	-0.0441001	0.998916	0.0148896	-0.0195046	0.00693209	-0.0145977	0.999869	-0.0150362	0	0	0	1
0.999018	0.0438856	-0.00616442	0.00130677	-0.0437822	0.998913	0.0160104	-0.0206735	0.00686034	-0.0157248	0.999853	-0.0144684	0	0	0	1
0.999035	0.043508	-0.00600194	0.000997371	-0.043405	0.998924	0.0163351	-0.0213519	0.00670619	-0.0160588	0.999849	-0.0144845	0	0	0	1
0.999043	0.0433018	-0.00622296	0.0012392	-0.0431957	0.998934	0.0162885	-0.0215381	0.00692164	-0.0160041	0.999848	-0.014041	0	0	0	1
0.999038	0.0434042	-0.0061847	0.00139538	-0.0433002	0.998933	0.0160686	-0.0213161	0.00687554	-0.0157853	0.999852	-0.0139709	0	0	0	1
0.99902	0.0438237	-0.00622401	0.0014687	-0.0437185	0.998913	0.0161451	-0.0213111	0.00692479	-0.0158572	0.99985	-0.0139375	0	0	0	1
0.998976	0.0448026	-0.00629306	0.00169526	-0.044698	0.998874	0.0158894	-0.020696	0.00699786	-0.0155918	0.999854	-0.0133694	0	0	0	1
0.998976	0.0448083	-0.00620608	0.00183814	-0.0447071	0.998878	0.0155912	-0.0201876	0.00689774	-0.0152978	0.999859	-0.0128668	0	0	0	1
0.998982	0.0446491	-0.00637885	0.00207095	-0.044545	0.998885	0.0156234	-0.0200758	0.00706931	-0.0153234	0.999858	-0.0125328	0	0	0	1
0.999001	0.0442726	-0.00599719	0.00177262	-0.044174	0.998901	0.0156839	-0.0200822	0.00668496	-0.0154034	0.999859	-0.0134838	0	0	0	1
0.999005	0.044189	-0.0059463	0.00165407	-0.0440937	0.99891	0.0153136	-0.0198059	0.00661651	-0.0150362	0.999865	-0.0141469	0	0	0	1
0.998987	0.0445965	-0.00595621	0.00168632	-0.0444999	0.99889	0.015461	-0.0196821	0.0066391	-0.0151803	0.999863	-0.0145307	0	0	0	1
0.998975	0.0448832	-0.0058058	0.00160653	-0.0447868	0.998872	0.0157788	-0.0199466	0.00650745	-0.0155026	0.999859	-0.0147612	0	0	0	1
0.99892	0.0460726	-0.00595459	0.00151547	-0.0459704	0.99881	0.0162889	-0.0204531	0.00669798	-0.0159976	0.99985	-0.0155782	0	0	0	1
0.998876	0.0470138	-0.00595341	0.00137124	-0.0469085	0.998759	0.01674	-0.021334	0.00673303	-0.0164419	0.999842	-0.0161306	0	0	0	1
0.99888	0.0469589	-0.00582858	0.0012308	-0.0468577	0.998767	0.0164203	-0.0216652	0.00659247	-0.0161288	0.999848	-0.0163018	0	0	0	1
0.998877	0.047013	-0.00591516	0.00105625	-0.0469108	0.998765	0.0163627	-0.0220051	0.00667712	-0.0160668	0.999849	-0.0169258	0	0	0	1
0.998875	0.0470586	-0.00585801	0.000841465	-0.0469563	0.99876	0.0165202	-0.0222597	0.00662816	-0.0162265	0.999846	-0.017094	0	0	0	1
0.998846	0.0476836	-0.00577328	0.000574793	-0.0475864	0.99874	0.0159429	-0.0218985	0.00652622	-0.0156498	0.999856	-0.0171853	0	0	0	1
0.998828	0.0480372	-0.00599081	0.000827921	-0.0479332	0.998715	0.016436	-0.0222694	0.00677265	-0.0161296	0.999847	-0.0173738	0	0	0	1
0.998784	0.0488889	-0.00631746	0.0011291	-0.0487756	0.998665	0.016999	-0.0229505	0.00714009	-0.0166702	0.999836	-0.017919	0	0	0	1
0.998732	0.0499455	-0.00630666	0.00114607	-0.0498303	0.998608	0.0172651	-0.0235583	0.0071602	-0.016929	0.999831	-0.0178009	0	0	0	1
0.998692	0.0507274	-0.00641373	0.00130428	-0.0506112	0.998571	0.0171411	-0.0237816	0.00727409	-0.0167941	0.999833	-0.0173537	0	0	0	1
0.998679	0.0509945	-0.00638476	0.00124215	-0.0508808	0.998562	0.0168626	-0.0235995	0.00723548	-0.0165154	0.999837	-0.0173605	0	0	0	1
0.998636	0.0518126	-0.00641064	0.00102147	-0.0516962	0.998515	0.0171648	-0.0240401	0.00729047	-0.01681	0.999832	-0.0172311	0	0	0	1
0.998586	0.0527602	-0.00657282	0.000975318	-0.0526424	0.998469	0.0169659	-0.0243007	0.00745788	-0.0165959	0.999834	-0.0174977	0	0	0	1
0.998474	0.0548323	-0.006563	0.000888423	-0.0547163	0.998362	0.0167153	-0.0242465	0.00746879	-0.0163307	0.999839	-0.0176274	0	0	0	1
0.998393	0.0563093	-0.0064027	0.0004944	-0.0561963	0.998281	0.0166285	-0.024203	0.00732803	-0.016242	0.999841	-0.0184813	0	0	0	1
0.998344	0.0571532	-0.00660241	0.000549436	-0.0570322	0.998223	0.017257	-0.0243936	0.00757697	-0.0168519	0.999829	-0.0187638	0	0	0	1
0.998388	0.0563607	-0.00675117	0.000742221	-0.0562274	0.998246	0.0185249	-0.0252528	0.00778341	-0.0181154	0.999806	-0.0191266	0	0	0	1
0.998402	0.0561177	-0.00670599	0.00086721	-0.0559815	0.998251	0.0190244	-0.0259192	0.00776186	-0.0186186	0.999797	-0.0197088	0	0	0	1
