x	y	theta
-0.0237064	-0.00221908	0.0093386
-0.0224589	-0.00230499	0.00909706
-0.02167	-0.00223026	0.00934287
-0.0209362	-0.00256904	0.00956549
-0.0207392	-0.00265858	0.00968136
-0.0206393	-0.00287091	0.00987536
-0.0208135	-0.00312666	0.0100869
-0.0210333	-0.00341417	0.0103387
-0.0209648	-0.00356866	0.0102964
-0.0211043	-0.00346678	0.0101888
-0.0207252	-0.00343141	0.0101009
-0.0207464	-0.00346958	0.010294
-0.0205496	-0.00353054	0.0106079
-0.0207905	-0.00371177	0.0107787
-0.0213785	-0.00378645	0.0110511
-0.0214476	-0.00373082	0.0110891
-0.0215245	-0.00369547	0.0110334
-0.0215063	-0.00383949	0.0112974
-0.023198	-0.00341625	0.0111551
-0.024615	-0.0028999	0.0109421
-0.0253459	-0.00276803	0.0109422
-0.0256082	-0.00294161	0.0114368
-0.0260689	-0.00293456	0.0114627
-0.0265607	-0.00315772	0.0118
-0.0271841	-0.00326952	0.0120894
-0.0272523	-0.00311321	0.0121373
-0.0276561	-0.00293302	0.0120761
-0.0272787	-0.00294701	0.0120771
-0.0262513	-0.00317635	0.012265
-0.0265987	-0.00332152	0.0123737
-0.0275409	-0.00276313	0.0113575
-0.0283503	-0.0024499	0.0110353
-0.0283061	-0.0020022	0.0103998
-0.0276741	-0.001769	0.0102036
-0.0270253	-0.00184797	0.0102286
-0.0272115	-0.00188639	0.0104803
-0.0276309	-0.00204243	0.0107709
-0.0278604	-0.00219371	0.010758
-0.0288503	-0.00199468	0.0105248
-0.0294017	-0.0016503	0.0103904
-0.0293519	-0.00143551	0.0102749
-0.0293459	-0.00145849	0.0101281
-0.0306409	-0.00107928	0.0100467
-0.0308685	-0.00114748	0.00999067
-0.031225	-0.00152663	0.010598
-0.0321268	-0.00170476	0.0110003
-0.0325197	-0.0017624	0.0111056
-0.0327706	-0.00198987	0.0110345
-0.0333264	-0.00211377	0.0109414
-0.0337417	-0.00216127	0.0110413
-0.0346764	-0.00237631	0.0116835
-0.0355272	-0.00211252	0.0116062
-0.0355994	-0.00149028	0.010594
-0.0352588	-0.00122268	0.0103962
-0.0347678	-0.00110036	0.0103604
-0.0344886	-0.000989398	0.0103041
-0.0342677	-0.000941443	0.0104564
-0.0339593	-0.00102542	0.0107131
-0.0352416	-0.000630033	0.0104483
-0.0361597	-0.000456144	0.0100896
-0.0369296	-0.000284905	0.00995249
-0.0366874	-0.000418962	0.0101398
-0.0362551	-0.000507226	0.0103374
-0.0362811	-0.000586364	0.0103833
-0.0360801	-0.000384682	0.0102673
-0.0363236	-0.00010868	0.0101508
-0.0369241	0.000331078	0.00983776
-0.0376708	0.000485633	0.0100219
-0.0386907	0.000425896	0.0103311
-0.0383333	0.000192677	0.0105526
-0.0378353	0.000197445	0.0102554
-0.0372153	9.66003e-05	0.0103731
-0.037102	-2.10074e-05	0.0104059
-0.0377598	-4.64828e-05	0.0107895
-0.0384963	-0.00019167	0.0110148
-0.0386797	-0.000275665	0.0111995
-0.0398808	0.000245919	0.0108577
-0.0406244	0.000644658	0.010884
-0.0417749	0.00109776	0.0106144
-0.0422068	0.000931306	0.0107762
-0.0419127	0.000848808	0.0108863
-0.0424255	0.000823293	0.011217
-0.0439372	0.00107026	0.0113395
-0.045508	0.00116871	0.0116471
-0.0456959	0.00133652	0.0115654
-0.0455206	0.00139355	0.0115319
-0.0453572	0.0011707	0.01181
-0.0450617	0.000901953	0.0120787
-0.0442239	0.000490086	0.012334
-0.0437023	0.000636949	0.0116182
-0.0446295	0.000782317	0.0114793
-0.0456419	0.000884337	0.0116821
-0.046155	0.000922878	0.0119119
-0.0464934	0.000728854	0.0123922
-0.0464227	0.000378316	0.0127186
-0.0469101	0.000171015	0.0129466
-0.0479208	9.40732e-05	0.0131222
-0.0495604	0.000285873	0.0131809
-0.0504828	0.00056515	0.0130937
-0.0518236	0.00110363	0.0127513
-0.0526918	0.00172747	0.0122273
-0.0528703	0.00186458	0.0124278
-0.052459	0.00178535	0.0125272
-0.0521465	0.00162176	0.0126746
-0.0527205	0.00150289	0.0130062
-0.0531307	0.00139766	0.0133125
-0.0532985	0.00139452	0.0134092
-0.0532306	0.00159074	0.0129912
-0.0527745	0.00173592	0.0128416
-0.052624	0.00188495	0.0127299
-0.0525697	0.00203316	0.0127465
-0.0527867	0.00209107	0.0129287
-0.0522716	0.00203182	0.0128907
-0.0520187	0.00220102	0.0125652
-0.0516976	0.00187716	0.0129181
-0.0519709	0.00136088	0.013478
-0.0521856	0.000983473	0.0134843
-0.0518077	0.000577929	0.0139052
-0.0522933	0.000269866	0.0140034
-0.0525143	0.000303948	0.0138552
-0.0522972	0.00039502	0.013702
